Account,date,daily_pnl,vol,trades,bias,win_rate,classification,value,segment,strategy_signal
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,900880.13,177,-1.0,0.0,Extreme Greed,76,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,542413.1799999999,68,-1.0,0.0,Extreme Greed,90,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,949380.0,40,-1.0,0.0,Extreme Greed,83,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,338240.0,12,1.0,0.0,Extreme Greed,94,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,465700.0,27,-0.1111111111111111,1.0,Extreme Greed,79,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,1316799.98,82,1.0,0.0,Extreme Greed,77,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,1116918.77,23,-1.0,0.0,Extreme Greed,84,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,1212299.96,33,1.0,0.0,Greed,72,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,5306093.62,465,-0.5182795698924731,0.20535714285714285,Extreme Greed,77,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,479429.99,51,0.09803921568627451,1.0,Extreme Greed,76,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,1858470.0,10,0.8,1.0,Greed,60,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,19794543.66,839,-0.16567342073897498,0.6900269541778976,Fear,44,Whale,ACCUMULATE
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,5616220.88,531,-0.5819209039548022,0.7477477477477478,Greed,72,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,5582863.31,210,-0.2571428571428571,1.0,Neutral,54,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,1432708.93,141,0.8723404255319149,1.0,Neutral,46,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,1537560.0,48,-0.3333333333333333,1.0,Fear,43,Whale,ACCUMULATE
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,807600.01,6,-1.0,0.0,Neutral,47,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,1603504.46,59,0.05084745762711865,1.0,Neutral,49,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,2898197.14,219,-0.1506849315068493,1.0,Fear,25,Whale,ACCUMULATE
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,1372739.97,55,-0.9636363636363636,1.0,Extreme Fear,16,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,134360.89,45,0.6,1.0,Extreme Fear,20,Retail,REDUCE_SIZE
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,5365898.24,641,0.6848673946957878,1.0,Fear,33,Whale,ACCUMULATE
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,398200.0,5,0.6,1.0,Neutral,45,Whale,HOLD
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,666240.85,31,1.0,1.0,Fear,43,Whale,ACCUMULATE
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,135847.3,55,-0.7090909090909091,1.0,Extreme Greed,84,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,0.06,1,-1.0,0.0,Extreme Greed,81,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,48513.58,34,1.0,0.0,Greed,72,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,52028.630000000005,26,-1.0,1.0,Extreme Greed,75,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,52066.88,46,1.0,0.0,Extreme Greed,78,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,54584.72,64,-1.0,1.0,Extreme Greed,78,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,112897.91,59,0.4915254237288136,1.0,Extreme Greed,81,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,0.11,1,-1.0,0.0,Extreme Greed,75,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,341740.77999999997,34,-0.23529411764705882,1.0,Greed,74,Whale,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,36997.54,13,1.0,0.0,Greed,61,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,41490.68,17,-1.0,1.0,Extreme Greed,75,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,84021.26999999999,39,-0.48717948717948717,1.0,Extreme Greed,77,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,272092.55,124,-0.3064516129032258,1.0,Extreme Greed,77,Whale,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,588968.28,339,-0.168141592920354,1.0,Extreme Greed,75,Whale,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,129509.91,54,0.8518518518518519,1.0,Extreme Greed,75,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,66856.49,44,1.0,0.0,Greed,71,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,73755.74,56,-1.0,1.0,Greed,72,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,73735.48,46,1.0,0.0,Greed,72,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,81107.93000000001,55,-1.0,1.0,Greed,70,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,163388.11,78,0.358974358974359,1.0,Greed,68,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,1443682.0,517,0.04448742746615087,0.9471544715447154,Greed,60,Whale,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,75901.55,124,-1.0,0.0,Neutral,47,Retail,HOLD
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,427297.12,159,-0.610062893081761,1.0,Neutral,46,Whale,HOLD
